Sample_ID,Bird,Storage buffer (DNA/RNA Shield = red dot),Swab order,Concentration (ng/ul),280/260,260/230,Sex,Weight (g),Bill Length (mm),Bill Depth (mm),Tarsus Length (mm),Tarsus Width (mm),Mid-toe (mm),Mid-toe claw (mm),Wing (mm),Tail (mm),Spur (age),Iris,
1,1,DNA/RNA Shield,1,96,1.67,0.6,M,870,42.4,18.9,73.6,6.1,61.4,13.4,184,130,S1,red-brown,
29,15,DNA/RNA Shield,1,73.4,1.59,0.45,M?,820,420,19.7,56.8,6.8,46.7,60.5,182,111,S1,red-brown,
35,18,DNA/RNA Shield,1,90.3,1.56,0.29,M?,820,42.2,19,59.1,7.3,54.7,63.2,196,120,S1,brown,
4,2,DNA/RNA Shield,2,71.8,1.76,0.21,M,1080,41.9,21,76.7,7.4,60.9,13.4,185,125,S2,red,
6,3,DNA/RNA Shield,2,40.1,1.64,0.18,M,1050,42.4,20.8,80.3,8,60.6,70.4,186,130,S2,red-brown,
7,4,DNA/RNA Shield,1,47.4,1.61,0.25,M,1030,45.4,19.8,81.5,8.8,,,210,worn,S2,red,
15,8,DNA/RNA Shield,1,4.7,1.74,0.16,M,1020,44.9,20.9,79.4,7.7,61.6,13.3,182,123,S2,red,
19,10,DNA/RNA Shield,1,10.2,1.52,0.09,M,1050,44.5,23.7,77.4,7.6,57.7,69.1,189,100,S2,red-brown,
26,13,DNA/RNA Shield,2,15.8,1.62,0.34,M,1200,47.7,22.6,74.8,8.1,56.5,67.6,210,110,S2,red,
28,14,DNA/RNA Shield,2,76.3,1.59,0.36,M,1120,48,24.6,67.9,8.2,58.3,71.1,220,125,S2,red,
32,16,DNA/RNA Shield,2,85,1.6,0.52,M,780,46.1,24.1,66.5,7.1,57.1,67.4,195,110,S2,red-brown,
33,17,DNA/RNA Shield,1,106.2,1.57,0.52,M?,760,44,20,60.3,6.5,49.6,61.9,168,105,S2,red-brown,
37,19,DNA/RNA Shield,-,102.9,1.63,0.29,M?,730,43.8,23.8,62.2,7.7,58.4,63.3,192,kinked,S2,red-brown,
39,20,DNA/RNA Shield,1,123.1,1.56,0.34,M,880,44.3,22.3,68.5,7.9,56.9,69.7,192,115,S2,red-brown,
42,21,DNA/RNA Shield,2,106,1.56,0.38,M?,630,44.2,21.6,64.3,6.7,51.4,63.4,187,113,S2,red-brown,
9,5,DNA/RNA Shield,1,90.8,1.58,0.39,M,1040,44.2,22,67.6,7.3,58.2,70.1,200,,S3,red,
12,6,DNA/RNA Shield,2,86.1,1.55,0.29,F,820,44,19.1,75.1,6.1,57.6,66.6,174,108,S3,red,
13,7,DNA/RNA Shield,1,91,1.53,0.33,M,1300,44.9,22.3,84.9,7.6,67.4,14.2,205,140,S3,red,
18,9,DNA/RNA Shield,2,12.3,1.89,0.24,M,1080,48.2,23.6,71.6,8.5,61.3,73,190,110,S3,red,
23,12,DNA/RNA Shield,1,13.5,1.71,0.18,M,970,43.2,20.6,81.1,8,59.9,67.5,206,110,S3,red,
not sampled,NA,NA,NA,NaN,NA,NA,M,830,43.2,19.4,67.4,7.3,51.7,63.3,190,225,S1,red-brown,
not sampled,NA,NA,NA,NaN,NA,NA,M,830,43.2,19.4,67.4,7.3,51.7,63.3,190,225,S1,red-brown,
2,1,RNALater,2,89.7,1.64,0.55,M,870,42.4,18.9,73.6,6.1,61.4,13.4,184,130,S1,red-brown,
30,15,RNALater,2,47.1,1.62,0.44,M?,820,420,19.7,56.8,6.8,46.7,60.5,182,111,S1,red-brown,
36,18,RNALater,2,69.5,1.57,0.17,M?,820,42.2,19,59.1,7.3,54.7,63.2,196,120,S1,brown,
3,2,RNALater,1,131.1,1.6,0.46,M,1080,41.9,21,76.7,7.4,60.9,13.4,185,125,S2,red,
5,3,RNALater,1,54.9,1.62,0.24,M,1050,42.4,20.8,80.3,8,60.6,70.4,186,130,S2,red-brown,
8,4,RNALater,2,56.7,1.62,0.28,M,1030,45.4,19.8,81.5,8.8,,,210,worn,S2,red,
16,8,RNALater,2,21.7,1.68,0.27,M,1020,44.9,20.9,79.4,7.7,61.6,13.3,182,123,S2,red,
20,10,RNALater,2,18.6,1.47,0.04,M,1050,44.5,23.7,77.4,7.6,57.7,69.1,189,100,S2,red-brown,
25,13,RNALater,1,17.5,1.57,0.15,M,1200,47.7,22.6,74.8,8.1,56.5,67.6,210,110,S2,red,
27,14,RNALater,1,71.5,1.61,0.41,M,1120,48,24.6,67.9,8.2,58.3,71.1,220,125,S2,red,
31,16,RNALater,1,123.7,1.62,0.56,M,780,46.1,24.1,66.5,7.1,57.1,67.4,195,110,S2,red-brown,
34,17,RNALater,2,89.8,1.6,0.53,M?,760,44,20,60.3,6.5,49.6,61.9,168,105,S2,red-brown,
38,19,RNALater,-,125,1.63,0.34,M?,730,43.8,23.8,62.2,7.7,58.4,63.3,192,kinked,S2,red-brown,
40,20,RNALater,2,61.5,1.57,0.27,M,880,44.3,22.3,68.5,7.9,56.9,69.7,192,115,S2,red-brown,
41,21,RNALater,1,57.9,1.59,0.15,M?,630,44.2,21.6,64.3,6.7,51.4,63.4,187,113,S2,red-brown,
43,22,RNALater,-,120.6,1.55,0.37,M,1100,49.5,25.9,69.1,8.2,59.4,62.4,188,130,S2,red,
44,22,RNALater,-,95.7,1.63,0.27,M,1100,49.5,25.9,69.1,8.2,59.4,62.4,188,130,S2,red,
10,5,RNALater,2,120,1.58,0.3,M,1040,44.2,22,67.6,7.3,58.2,70.1,200,,S3,red,
11,6,RNALater,1,70.4,1.55,0.19,F,820,44,19.1,75.1,6.1,57.6,66.6,174,108,S3,red,
14,7,RNALater,2,87.4,1.58,0.37,M,1300,44.9,22.3,84.9,7.6,67.4,14.2,205,140,S3,red,
17,9,RNALater,1,16.0,1.87,0.32,M,1080,48.2,23.6,71.6,8.5,61.3,73,190,110,S3,red,
24,12,RNALater,2,28.5,1.73,0.52,M,970,43.2,20.6,81.1,8,59.9,67.5,206,110,S3,red,